r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
1.554994348908464996e-01,1.554994348908464996e-01,1.280033700449174656e-04,1.280033700449174656e-04,7.883726279757378164e-01,9.738003989889573164e-01,9.738003961227486016e-01
1.623534568030886582e-01,1.623534568030886582e-01,1.277012614873635301e-04,1.277012614873635301e-04,7.865119406607306018e-01,9.715020732981511919e-01,9.715020691893705429e-01
1.695095866709417087e-01,1.695095866709417087e-01,1.273734321233334962e-04,1.273734321233334962e-04,7.844928385133371762e-01,9.690080736059499822e-01,9.690080677474477433e-01
1.769811406492136918e-01,1.769811406492136918e-01,1.270178342647055973e-04,1.270178342647055973e-04,7.823027096599779462e-01,9.663028218888275456e-01,9.663028135703243260e-01
1.847820218351475252e-01,1.847820218351475252e-01,1.266322829887588130e-04,1.266322829887588130e-04,7.799280969342425873e-01,9.633696960952180532e-01,9.633696843229320184e-01
1.929267461393582295e-01,1.929267461393582295e-01,1.262144516924611931e-04,1.262144516924611931e-04,7.773546704703566679e-01,9.601909963242517554e-01,9.601909797091513488e-01
2.014304692970982358e-01,2.014304692970982358e-01,1.257618684720820685e-04,1.257618684720820685e-04,7.745672053700694004e-01,9.567479172832371592e-01,9.567478938858804405e-01
2.103090150701082128e-01,2.103090150701082128e-01,1.252719135641971787e-04,1.252719135641971787e-04,7.715495658932605139e-01,9.530205288198124736e-01,9.530204959352217564e-01
2.195789046915362919e-01,2.195789046915362919e-01,1.247418181188935846e-04,1.247418181188935846e-04,7.682846978351901557e-01,9.489877665889607794e-01,9.489877204488368356e-01
2.292573876087147244e-01,2.292573876087147244e-01,1.241686646125913552e-04,1.241686646125913552e-04,7.647546309769961415e-01,9.446274351935984859e-01,9.446273705548081656e-01
2.393624735809983528e-01,2.393624735809983528e-01,1.235493772921809560e-04,1.235493772921809560e-04,7.609404937260269008e-01,9.399161354872483942e-01,9.399161360014255395e-01
2.499129661923979451e-01,2.499129661923979451e-01,1.228807700365915274e-04,1.228807700365915274e-04,7.568225422919180323e-01,9.348296286864397064e-01,9.348296291955692228e-01
2.609284978413621836e-01,2.609284978413621836e-01,1.221594945036597480e-04,1.221594945036597480e-04,7.523802069637829382e-01,9.293424418920337438e-01,9.293424423644439658e-01
